"author_id","first_name","middle_name","last_name"
1,"Merrit",NULL,"Eric"
2,"Linda",NULL,"Mul"
3,"Alecos",NULL,"Papadatos"
4,"Paul","C.van","Oorschot"
5,"David",NULL,"Cronin"
6,"Richard",NULL,"Blum"
7,"Yuval","Noah","Harari"
8,"Paul",NULL,"Albitz"
9,"David",NULL,"Beazley"
10,"John","Paul","Shen"
11,"Andrew",NULL,"Miller"
12,"Melanie",NULL,"Swan"
13,"Neal",NULL,"Ford"
14,"Nir",NULL,"Shavit"
15,"Tim",NULL,"Kindberg"
16,"Mike",NULL,"McQuaid"
17,"Brian","P.","Hogan"
18,"Jean-Philippe",NULL,"Aumasson"
19,"Lance",NULL,"Fortnow"
20,"Richard","C.","Jeffrey"
21,"William","L.","Simon"
22,"Magnus","Lie","Hetland"
23,"Mike",NULL,"McShaffry"
24,"Norman",NULL,"Matloff"
25,"John","E.","Hopcroft"
26,"S.",NULL,"Sudarshan"
27,"Bruce",NULL,"Eckel"
28,"Bill",NULL,"Gates"
29,"Shane",NULL,"Harvie"
30,"Ralph","P.","Grimaldi"
31,"Garry",NULL,"Kasparov"
32,"Lawrence","C.","Paulson"
33,"Donella","H.","Meadows"
34,"Maria",NULL,"Levitin"
35,"Joy","A.","Thomas"
36,"Scott",NULL,"Rosenberg"
37,"Mark",NULL,"Nelson"
38,"Hal",NULL,"Abelson"
39,"Ray",NULL,"Seyfarth"
40,"Fred",NULL,"Turner"
41,"Andrew",NULL,"Honig"
42,"Helen",NULL,"Sharp"
43,"Katie",NULL,"Hafner"
44,"Christopher",NULL,"Negus"
45,"Ralph",NULL,"Kimball"
46,"Trent","R.","Hein"
47,"Venkat",NULL,"Subramaniam"
48,"Simon","J.D.","Prince"
50,"Stephen",NULL,"Wolfram"
51,"Jennifer",NULL,"Petoff"
52,"Massimo",NULL,"Banzi"
53,"Mickey",NULL,"Petersen"
54,"Ethem",NULL,"Alpaydin"
55,"Ytaelena",NULL,"LA3pez"
56,"John","L.","Hennessy"
57,"Cameron",NULL,"Moll"
58,"Jamie",NULL,"Levy"
59,"Janet",NULL,"Gregory"
60,"Jenifer",NULL,"Tidwell"
61,"Steven","S.","Skiena"
62,"Jimmy",NULL,"Soni"
63,"Tracy",NULL,"Kidder"
64,"Douglas","R.","Hofstadter"
65,"Zed",NULL,"Shaw"
66,"Yoav",NULL,"Shoham"
67,"Danny",NULL,"Goodman"
68,"Bert",NULL,"Bates"
69,"David",NULL,"Gries"
70,"Eric",NULL,"Newcomer"
71,"Jim","R.","Wilson"
72,"Maarten","van","Steen"
73,"Tsung-Hsien",NULL,"Lee"
74,"M.","Mitchell","Waldrop"
75,"George",NULL,"Pólya"
76,"Richard","S.","Bird"
77,"Ben",NULL,"Collins-Sussman"
78,"Micha",NULL,"Gorelick"
79,"Christopher","T.","Haynes"
80,"Carlos",NULL,"Bueno"
81,"Michael","L.","Scott"
82,"William","Jr.","Gwaltney"
83,"Binu",NULL,"John"
84,"Dan",NULL,"Bader"
85,"Chris",NULL,"Smith"
86,"Andrew",NULL,"Stellman"
87,"Kevin",NULL,"Poulsen"
88,"Peter",NULL,"Linz"
89,"Jim",NULL,"OGorman"
90,"Ali",NULL,"Almossawi"
91,"David",NULL,"Robson"
92,"Brad",NULL,"Abrams"
93,"Timothy",NULL,"Downs"
94,"Kyle",NULL,"Loudon"
95,"Robert",NULL,"Eckstein"
96,"Wolfgang",NULL,"Banzhaf"
97,"Mike",NULL,"Beedle"
98,"Luke",NULL,"Ruth"
99,"Brad",NULL,"Stone"
100,"David",NULL,"Gourley"
101,"Greg",NULL,"Kroah-Hartman"
102,"Jurgen",NULL,"Appelo"
103,"Eric",NULL,"Ries"
104,"Ian",NULL,"Parberry"
105,"Johan",NULL,"Vromans"
106,"Corey",NULL,"Sandler"
107,"Devon",NULL,"Kearns"
108,"Steven",NULL,"Feiner"
109,"Kevlin",NULL,"Henney"
110,"Abraham",NULL,"Silberschatz"
111,"Mark",NULL,"Russinovich"
112,"Carl",NULL,"Eastlund"
113,"Hans",NULL,"Langtangen"
114,"Carin",NULL,"Meier"
